Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,124.730003,125.110001,124.639999,124.779999,13324100,124.779999
2016-08-30,125.730003,125.949997,124.879997,125.029999,9877000,125.029999
2016-08-29,126.00,126.480003,125.93,126.300003,5562400,126.300003
2016-08-26,126.879997,128.110001,125.82,126.050003,17967700,126.050003
2016-08-25,125.980003,126.309998,125.959999,126.230003,5926300,126.230003
2016-08-24,126.919998,126.970001,126.300003,126.339996,13539700,126.339996
2016-08-23,128.139999,128.220001,127.610001,127.760002,9038500,127.760002
2016-08-22,127.629997,127.919998,127.449997,127.779999,8627200,127.779999
2016-08-19,128.080002,128.669998,127.860001,127.970001,10660100,127.970001
2016-08-18,128.889999,129.169998,128.580002,129.110001,9500600,129.110001
2016-08-17,128.169998,128.990005,127.459999,128.50,12034800,128.50
2016-08-16,128.119995,129.039993,128.00,128.470001,8678100,128.470001
2016-08-15,127.620003,128.25,127.599998,127.839996,4530800,127.839996
2016-08-12,127.669998,129.259995,127.199997,127.400002,15395800,127.400002
2016-08-11,128.610001,129.190002,127.480003,127.669998,9763800,127.669998
2016-08-10,129.119995,129.199997,128.149994,128.559998,6196200,128.559998
2016-08-09,127.940002,128.139999,127.75,127.959999,7500400,127.959999
2016-08-08,127.290001,127.699997,127.269997,127.440002,6773800,127.440002
2016-08-05,128.460007,128.550003,127.389999,127.550003,16205100,127.550003
2016-08-04,130.009995,130.279999,129.820007,129.869995,4908100,129.869995
2016-08-03,129.949997,129.960007,129.270004,129.649994,5010700,129.649994
2016-08-02,130.039993,130.550003,129.940002,130.270004,7652800,130.270004
2016-08-01,128.570007,129.339996,128.559998,129.220001,7109900,129.220001
2016-07-29,128.419998,129.410004,127.879997,128.979996,13708200,128.979996
2016-07-28,128.089996,128.199997,127.209999,127.660004,9261800,127.660004
2016-07-27,126.790001,128.119995,126.040001,128.029999,17066400,128.029999
2016-07-26,126.089996,126.139999,125.75,126.00,7613200,126.00
2016-07-25,125.529999,126.209999,125.110001,125.470001,13139400,125.470001
2016-07-22,126.43,126.519997,126.010002,126.349998,7716000,126.349998
2016-07-21,125.660004,127.370003,125.599998,127.300003,9399200,127.300003
2016-07-20,125.50,126.120003,125.309998,125.389999,11777700,125.389999
2016-07-19,126.949997,127.349998,126.82,127.209999,5170700,127.209999
2016-07-18,127.019997,127.50,126.629997,127.040001,8489700,127.040001
2016-07-15,126.379997,127.190002,126.330002,126.839996,13892100,126.839996
2016-07-14,126.309998,127.370003,126.029999,127.330002,12132400,127.330002
2016-07-13,128.00,128.429993,127.610001,128.320007,7377700,128.320007
2016-07-12,128.520004,128.539993,126.989998,127.150002,26459600,127.150002
2016-07-11,129.490005,129.899994,129.160004,129.289993,10855600,129.289993
2016-07-08,129.850006,130.520004,128.970001,130.520004,17634200,130.520004
2016-07-07,129.820007,130.119995,128.979996,129.740005,16508500,129.740005
2016-07-06,130.50,131.149994,129.820007,130.229996,17376700,130.229996
2016-07-05,128.800003,129.589996,128.169998,129.470001,19026200,129.470001
2016-07-01,127.660004,128.419998,127.440002,128.410004,14940700,128.410004
2016-06-30,125.949997,126.519997,125.50,126.470001,15981600,126.470001
2016-06-29,125.910004,126.809998,125.699997,125.839996,12218400,125.839996
2016-06-28,125.559998,126.019997,125.059998,125.32,16001500,125.32
2016-06-27,126.440002,127.050003,125.830002,126.68,21228800,126.68
2016-06-24,126.620003,126.82,125.00,126.00,35782900,126.00
2016-06-23,120.489998,121.029999,120.059998,120.110001,10704900,120.110001
2016-06-22,120.830002,121.25,120.68,120.900002,7861000,120.900002
2016-06-21,121.650002,121.860001,120.769997,120.839996,14585600,120.839996
2016-06-20,122.260002,123.330002,122.129997,123.209999,11866200,123.209999
2016-06-17,123.260002,124.099998,122.690002,123.949997,15573800,123.949997
2016-06-16,125.169998,125.669998,122.230003,122.379997,26635000,122.379997
2016-06-15,122.519997,123.870003,122.379997,123.68,15053000,123.68
2016-06-14,123.00,123.059998,122.300003,122.769997,11651700,122.769997
2016-06-13,122.800003,122.830002,122.029999,122.639999,12594200,122.639999
2016-06-10,121.550003,122.099998,121.18,121.739998,13940000,121.739998
2016-06-09,120.610001,121.480003,120.550003,121.25,12174000,121.25
2016-06-08,120.300003,120.779999,120.230003,120.580002,11661700,120.580002
2016-06-07,118.50,119.019997,118.410004,118.82,4602900,118.82
2016-06-06,118.889999,119.169998,118.459999,118.919998,9887900,118.919998
2016-06-03,118.25,118.889999,118.230003,118.879997,14605100,118.879997
2016-06-02,115.779999,115.970001,115.580002,115.669998,4591600,115.669998
2016-06-01,115.970001,116.139999,115.199997,115.940002,8399600,115.940002
2016-05-31,115.760002,116.400002,115.50,116.059998,8187600,116.059998
2016-05-27,116.269997,116.360001,115.290001,115.620003,8653800,115.620003
2016-05-26,117.57,117.629997,116.389999,116.580002,5893500,116.580002
2016-05-25,116.589996,117.059998,116.32,116.980003,10487300,116.980003
2016-05-24,118.169998,118.230003,117.25,117.300003,12772000,117.300003
2016-05-23,118.860001,119.599998,118.75,119.370003,8628200,119.370003
2016-05-20,120.190002,120.32,119.309998,119.709999,10379400,119.709999
2016-05-19,119.00,119.980003,118.919998,119.870003,14339700,119.870003
2016-05-18,121.220001,121.919998,119.879997,120.099998,13381700,120.099998
2016-05-17,121.580002,122.519997,121.480003,122.220001,8619800,122.220001
2016-05-16,122.93,122.970001,121.379997,121.800003,7103000,121.800003
2016-05-13,121.089996,121.860001,120.660004,121.709999,7672800,121.709999
2016-05-12,122.019997,122.389999,121.00,121.160004,7447100,121.160004
2016-05-11,121.849998,122.160004,121.379997,122.120003,7590100,122.120003
2016-05-10,120.739998,121.379997,120.080002,120.980003,9845000,120.980003
2016-05-09,121.199997,121.290001,120.589996,120.650002,9236200,120.650002
2016-05-06,122.830002,123.809998,122.589996,123.18,11051700,123.18
2016-05-05,122.629997,122.730003,121.25,122.07,8846900,122.07
2016-05-04,122.849998,123.230003,121.510002,122.209999,9398200,122.209999
2016-05-03,123.730003,123.82,122.510002,122.959999,9063600,122.959999
2016-05-02,123.779999,123.959999,123.050003,123.239998,12137500,123.239998
2016-04-29,122.43,123.93,122.339996,123.650002,19043900,123.650002
2016-04-28,119.919998,121.419998,119.730003,121.290001,15133600,121.290001
2016-04-27,118.970001,119.699997,118.43,119.040001,7976400,119.040001
2016-04-26,118.790001,118.889999,118.449997,118.699997,9906800,118.699997
2016-04-25,118.139999,118.709999,118.110001,118.230003,4369400,118.230003
2016-04-22,118.709999,119.019997,117.279999,117.889999,10047000,117.889999
2016-04-21,120.419998,120.550003,119.129997,119.419998,14612800,119.419998
2016-04-20,119.669998,120.080002,118.720001,118.970001,10233200,118.970001
2016-04-19,119.870003,120.089996,119.370003,119.580002,21031500,119.580002
2016-04-18,118.529999,118.559998,117.629997,117.739998,5798400,117.739998
2016-04-15,117.330002,118.120003,117.190002,117.919998,7838100,117.919998
2016-04-14,118.089996,118.190002,116.949997,117.110001,13165800,117.110001
2016-04-13,119.370003,119.43,118.559998,118.769997,8841500,118.769997
2016-04-12,120.230003,120.349998,119.550003,120.050003,9689500,120.050003
2016-04-11,119.470001,120.300003,119.419998,120.029999,9846000,120.029999
2016-04-08,118.07,118.769997,117.980003,118.43,9078900,118.43
2016-04-07,118.650002,118.849998,115.00,118.610001,11900500,118.610001
2016-04-06,116.699997,117.389999,116.260002,116.940002,7549400,116.940002
2016-04-05,117.760002,117.93,117.150002,117.660004,8865900,117.660004
2016-04-04,116.669998,116.730003,116.07,116.150002,7643700,116.150002
2016-04-01,116.080002,116.980003,115.550003,116.93,10405400,116.93
2016-03-31,118.160004,118.389999,117.599998,117.639999,9348200,117.639999
2016-03-30,117.879997,118.199997,116.910004,117.099998,10769100,117.099998
2016-03-29,117.360001,118.809998,116.800003,118.760002,14472400,118.760002
2016-03-28,116.730003,116.910004,116.269997,116.599998,3879100,116.599998
2016-03-24,116.769997,116.940002,116.300003,116.330002,6280900,116.330002
2016-03-23,116.739998,117.120003,116.160004,116.610001,15993700,116.610001
2016-03-22,119.730003,120.160004,118.959999,119.309998,6786800,119.309998
2016-03-21,119.00,119.330002,118.730003,118.959999,7240600,118.959999
2016-03-18,119.589996,120.339996,119.510002,119.800003,16965900,119.800003
2016-03-17,121.160004,121.18,120.029999,120.129997,9914300,120.129997
2016-03-16,117.419998,120.760002,117.339996,120.589996,17334000,120.589996
2016-03-15,117.779999,118.040001,117.360001,117.959999,9941800,117.959999
2016-03-14,120.269997,120.309998,117.50,117.870003,14236200,117.870003
2016-03-11,121.190002,121.389999,119.360001,119.410004,10812300,119.410004
2016-03-10,120.50,121.760002,120.419998,121.50,18104900,121.50
2016-03-09,119.199997,120.389999,118.839996,119.580002,8672900,119.580002
2016-03-08,121.790001,121.879997,120.470001,120.580002,11531000,120.580002
2016-03-07,121.18,121.580002,120.410004,121.139999,9358600,121.139999
2016-03-04,121.129997,122.370003,120.220001,120.540001,16261100,120.540001
2016-03-03,118.860001,121.300003,118.809998,120.730003,18724100,120.730003
2016-03-02,118.339996,118.970001,118.07,118.68,8903000,118.68
2016-03-01,118.739998,119.110001,117.339996,117.769997,14139300,117.769997
2016-02-29,117.589996,118.699997,117.529999,118.639999,11517500,118.639999
2016-02-26,117.43,117.720001,115.860001,117.110001,12505100,117.110001
2016-02-25,117.620003,118.910004,117.540001,117.919998,12500300,117.919998
2016-02-24,119.00,119.860001,117.349998,117.610001,17938800,117.610001
2016-02-23,116.68,117.419998,116.519997,117.220001,9033400,117.220001
2016-02-22,115.440002,116.190002,115.410004,115.489998,10677800,115.489998
2016-02-19,117.260002,117.970001,117.099998,117.580002,15192000,117.580002
2016-02-18,115.300003,118.599998,115.290001,118.290001,13586500,118.290001
2016-02-17,115.470001,116.07,114.889999,115.480003,10582400,115.480003
2016-02-16,116.00,116.309998,114.739998,114.769997,14601700,114.769997
2016-02-12,118.120003,118.739998,117.879997,118.360001,16981200,118.360001
2016-02-11,118.589996,120.839996,117.769997,119.059998,49139000,119.059998
2016-02-10,113.919998,114.519997,112.980003,114.459999,13311100,114.459999
2016-02-09,114.43,114.690002,113.550003,113.580002,18156700,113.580002
2016-02-08,113.669998,114.870003,113.389999,113.830002,28341200,113.830002
2016-02-05,109.790001,112.349998,109.580002,112.32,14777300,112.32
2016-02-04,110.449997,110.699997,109.919998,110.57,13213700,110.57
2016-02-03,107.910004,109.580002,107.900002,109.25,15785200,109.25
2016-02-02,107.919998,108.18,107.349998,108.089996,6656000,108.089996
2016-02-01,107.540001,108.150002,107.529999,108.050003,10471800,108.050003
2016-01-29,106.610001,107.00,106.260002,106.949997,8098700,106.949997
2016-01-28,106.550003,106.860001,106.480003,106.540001,5914200,106.540001
2016-01-27,106.860001,107.93,106.650002,107.690002,8273400,107.690002
2016-01-26,106.32,107.43,106.260002,107.290001,8443400,107.290001
2016-01-25,105.760002,106.089996,105.599998,106.080002,6819400,106.080002
2016-01-22,104.93,105.510002,104.760002,105.00,4185300,105.00
2016-01-21,104.989998,105.489998,104.519997,105.489998,5425000,105.489998
2016-01-20,105.169998,106.160004,104.940002,105.370003,10120900,105.370003
2016-01-19,104.059998,104.449997,103.650002,103.980003,4588400,103.980003
2016-01-15,104.919998,104.959999,103.970001,104.080002,9997000,104.080002
2016-01-14,103.75,104.18,102.50,103.019997,9989100,103.019997
2016-01-13,103.889999,104.82,103.779999,104.720001,7324200,104.720001
2016-01-12,104.089996,104.589996,103.650002,104.209999,5540200,104.209999
2016-01-11,105.470001,105.57,104.709999,104.739998,6272400,104.739998
2016-01-08,105.480003,105.800003,105.040001,105.68,7678200,105.68
2016-01-07,105.830002,106.239998,105.190002,106.150002,11730400,106.150002
2016-01-06,104.370003,104.800003,103.93,104.669998,9316600,104.669998
2016-01-05,103.129997,103.459999,102.93,103.18,3500300,103.18
2016-01-04,103.129997,103.669998,102.489998,102.889999,6440000,102.889999
